inte',$S_0$,$S_1$,$S_2$,aero',$S_0$,$S_1$,$S_2$,dist',$S_0$,$S_1$,$S_2$,obse',$S_0$,$S_1$,$S_2$,ctrl',$S_0$,$S_1$,$S_2$
1.678696,0,0,0,1.678696,1665.568671,-14350.94866,-52660.89618,1.678696,1665.568671,-14350.94866,-52660.89618,1.678696,1676.271129,-14442.48591,-52999.25505,1.678696,145352.5475,-1.25E+06,-4.60E+06
1.761479,0,0,0,1.761479,1463.383313,-12609.42111,-46268.34892,1.761479,1463.383313,-12609.42111,-46268.34892,1.761479,1563.787929,-13473.85802,-49442.85302,1.761479,146498.3582,-1.26E+06,-4.63E+06
1.82413,0,0,0,1.82413,1210.670461,-10432.2798,-38278.24574,1.82413,1210.670461,-10432.2798,-38278.24574,1.82413,1464.091903,-12615.25432,-46290.74255,1.82413,147379.5648,-1.27E+06,-4.66E+06
1.879486,0,0,0,1.879486,1251.145397,-10781.44344,-39557.97371,1.879486,1251.145397,-10781.44344,-39557.97371,1.879486,1354.67262,-11672.79616,-42831.20564,1.879486,148166.6899,-1.28E+06,-4.68E+06
1.939768,0,0,0,1.939768,1044.782219,-9003.553396,-33033.32128,1.939768,1044.782219,-9003.553396,-33033.32128,1.939768,1223.670119,-10544.35853,-38689.26398,1.939768,149024.8554,-1.28E+06,-4.71E+06
2.000487,0,0,0,2.000487,954.994932,-8230.202547,-30194.49552,2.000487,954.994932,-8230.202547,-30194.49552,2.000487,1131.146335,-9747.485045,-35763.91917,2.000487,149866.8176,-1.29E+06,-4.74E+06
2.058064,0,0,0,2.058064,943.688884,-8133.185089,-29837.04495,2.058064,943.688884,-8133.185089,-29837.04495,2.058064,1067.212176,-9196.949568,-33742.50342,2.058064,150640.2223,-1.30E+06,-4.76E+06
2.121321,0,0,0,2.121321,906.028588,-7809.100599,-28646.34312,2.121321,906.028588,-7809.100599,-28646.34312,2.121321,999.246417,-8611.696342,-31593.62019,2.121321,151463.7562,-1.30E+06,-4.79E+06
2.178284,0,0,0,2.178284,704.134662,-6069.349764,-22262.98196,2.178284,704.134662,-6069.349764,-22262.98196,2.178284,920.421132,-7932.769148,-29101.38312,2.178284,152186.6044,-1.31E+06,-4.81E+06
2.234992,0,0,0,2.234992,752.068454,-6482.968425,-23778.54852,2.234992,752.068454,-6482.968425,-23778.54852,2.234992,834.68925,-7194.27528,-26390.77541,2.234992,152885.4639,-1.32E+06,-4.83E+06
2.290779,0,0,0,2.290779,655.235659,-5648.677746,-20716.95323,2.290779,655.235659,-5648.677746,-20716.95323,2.290779,759.370359,-6545.495431,-24009.39884,2.290779,153546.4963,-1.32E+06,-4.85E+06
2.353318,0,0,0,2.353318,622.194636,-5364.341047,-19672.299,2.353318,622.194636,-5364.341047,-19672.299,2.353318,694.763396,-5989.07918,-21966.70826,2.353318,154250.0472,-1.33E+06,-4.88E+06
2.407161,0,0,0,2.407161,567.503047,-4893.249997,-17943.10205,2.407161,567.503047,-4893.249997,-17943.10205,2.407161,654.935119,-5646.181087,-20707.45531,2.407161,154822.0864,-1.33E+06,-4.90E+06
